index,用户昵称,初评,初评日期,评价,追评,追评日期,追评天数,是否有用,赞,Rateid,用户等级,产品,类别,标题,平台,商品链接
11,t***3,第二次购买，一直都是用他家面膜，正品，改善皮肤很明显 ,2021年05月08日 17:48,1,,Null,Null,0,1,1132488519441,red_3,面膜,颜色分类:红绿药丸（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
12,x***饱,我的肤质：混油皮 保湿效果：很保湿补水 吸收效果：吸收效果好 整体评价：个人混油皮 也买了燕窝那款和这款深水炸弹系列的 都不错啊 补水保湿 精华液也很多啊 包装绝了 还有面膜外包装纸 很喜欢 值得入～ ,2021年05月10日 01:51,1,,Null,Null,0,-4,1132653731391,blue_2,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
13,t***2,超级好用，简直太适合我们熬夜党，学生党了，很推荐购买，是正品呢，产品条形码编号前三位880确实韩产，里面精华很多，大爱，面膜很薄很水润，特别舒服，在空调房敷面膜里很清凉，南方夏天炎热，这种面膜就是我们出游（油）仙女的救星啊，大爱这款面膜啊。 保湿效果：一级棒 ,2021年05月12日 21:53,1,,Null,Null,0,1,1133024179389,blue_1,面膜,颜色分类:❤新款蜗牛面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
14,柠***蒙,好用这是第二次购买了,2021年05月11日 14:34,1,,Null,Null,0,-4,1131537284307,red_2,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
15,t***2,整体评价：非常好 是正品 肤质改善情况：很保湿 吸收效果：非常好 我的肤质：很干 用了之后有改善 ,2021年05月10日 17:34,1,,Null,Null,0,1,1132743567151,red_3,面膜,颜色分类:❤新款蜗牛面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
16,毛***箱,买了两盒来用，一盒是补水的，另一盒是抗衰老的，是别的同事给我用过一张后觉得挺好用，我就准备买来试试，看看能不能让皮肤更好，不过买回来还没用过，等我用后再来追平，好用的话以后还会继续回购的哈！ ,2021年05月14日 21:33,1,,Null,Null,0,1,1131964432899,blue_2,面膜,颜色分类:❤新款虾青素面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
17,毛***箱,买了两盒来用，一盒是补水的，另一盒是抗衰老的，是别的同事给我用过一张后觉得挺好用，我就准备买来试试，看看能不能让皮肤更好，不过买回来还没用过，等我用后再来追平，好用的话以后还会继续回购的哈！  ,2021年05月14日 21:34,1,,Null,Null,0,-4,1132411125407,blue_2,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
18,t***7,忠实的粉丝会都好多次了，确定正品无疑，每次回购第一想到的就是他家，这次中间出现点小问题，卖家愉快的解决了，总之很是满意啦，以后还会继续回购。 ,2021年05月10日 12:04,1,,Null,Null,0,1,1131388008367,blue_4,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
19,t***8,面膜收到了，二维码也扫了跟我在专柜买的一模一样，是正品，这里比店里便宜，用完了还来买,2021年05月14日 13:03,1,面膜假货，不好用，已经退货了，差差差,Null,0,0,-4,1133209011252,red_2,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
20,s***仔,这是我用过最好用的一个面膜又一次回购了，不过包装压了卖家还送了猫耳朵发带和护手霜💕发货也很快  肤质改善情况：换季节爆皮敷一次就好了 吸收效果：敷完皮肤弹弹滑滑的 保湿效果：很滋润 ,2021年05月08日 14:12,1,,Null,Null,0,-4,1131595493596,blue_3,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
21,黄***6,整体评价：特别喜欢，一次性下单了3盒，也挺划算的，又保湿补水，特别喜欢 ,2021年05月14日 11:01,1,,Null,Null,0,-4,1131881668928,red_5,面膜,颜色分类:❤新款羊胎素面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
22,久***0,已经是无限回购了，每次都是买好几盒，正品支持，很补水的。 ,2021年05月11日 18:19,1,,Null,Null,0,1,1132464250706,blue_2,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
23,h***么,整体评价：非常好 一直用的这个牌子 肤质改善情况：水嫩了 吸收效果：强烈推荐补水面膜 是正品！ ,2021年05月14日 14:43,1,,Null,Null,0,-4,1131912380788,blue_1,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
24,c***z,趁着五一的折买的，五月四号下的单八号到货 打折后便宜好多，还送了一个迷你护手霜 应该是正品吧 第一次买这个牌子的燕窝面膜 挺喜欢这个牌子的面膜 效果挺不错的 想试试这款燕窝面膜的效果 总体来说挺满意～～ ,2021年05月08日 17:52,1,,Null,Null,0,-4,1131184680681,red_3,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
25,发***i,大猩猩家面膜非常好 价格还不贵  长期回头客  无限回购 正品 ,2021年05月14日 13:16,1,,Null,Null,0,-4,1132346381089,blue_2,面膜,颜色分类:❤新款虾青素面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
26,我***哟,买了很多次了，这次还送了很多小礼物，是正品，这几款都是JM爆款 ,2021年05月12日 18:57,1,,Null,Null,0,-4,1132142077601,blue_1,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
27,1***a,不止一次来这家购货啦，面膜是正品，补水效果超级棒  ,2021年05月09日 20:36,1,,Null,Null,0,1,1131770609544,blue_1,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
28,t***8,面膜收到了验证了是正品，跟我在店里买的一模一样，而且价格便宜，五星星用完下次还会来购买的,2021年05月14日 13:03,1,假货不好用，已经退货了，差差差,Null,0,0,1,1133209011251,red_2,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
29,魏***1,整体评价：经常光顾的一家， 吸收效果：好 保湿效果：精华超多，滋润 ,2021年05月10日 14:13,1,,Null,Null,0,1,1131851161248,blue_1,面膜,颜色分类:热卖款大米面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
30,t***5,包装很不错  都是正品  还送了一些东西：发带和护手霜,2021年05月13日 21:30,1,,Null,Null,0,-4,1133146667886,red_2,面膜,颜色分类:银色[❤新款猪胎素10片],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
31,一***象,收到面膜马上用了一片 效果超好 补水效果非常棒 而且里面的精华也很多  下次还会回购的 肤质改善情况：特别好 ,2021年05月13日 20:03,1,,Null,Null,0,1,1133137331692,blue_1,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
32,烨***辉,从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家 ,2021年05月14日 18:00,1,,Null,Null,0,1,1133253479141,blue_1,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
33,q***3,面膜很好，比商场的便宜，还有小礼品赠送  ,2021年05月11日 20:04,1,,Null,Null,0,-4,1132475774151,blue_1,面膜,颜色分类:❤新款蜗牛面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
34,q***3,面膜很好，比商场的便宜，还有小礼品赠送 ,2021年05月11日 20:04,1,,Null,Null,0,1,1132475774150,blue_1,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
35,婵***4,👍🏻👍🏻👍🏻挺好用的，回购好多次了哦，支持支持。,2021年05月08日 18:36,1,,Null,Null,0,1,1131634369139,red_5,面膜,颜色分类:浅黄色[冷敷贴 黄色款],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
36,l***5,整体评价：一直都在用这款面膜很好用。精华也很多。还很补水。用完之后皮肤很好值得入手 ,2021年05月12日 21:27,1,,Null,Null,0,1,1132157893545,blue_1,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
37,贞***8,一直用的都是她家的，补水效果很好，也没有不适应感，这次卖家还赠送了小礼品，不错，值得购买。 ,2021年05月11日 09:48,1,,Null,Null,0,1,1131942690000,blue_2,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
38,x***8,整体评价：一直在买这家这款面膜，用着补水效果非常好，精华超多的那种面膜。价格也很划算老顾客了。 ,2021年05月12日 21:32,1,,Null,Null,0,1,1132609154772,blue_2,面膜,颜色分类:❤热卖款蚕丝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
39,小***斗,一共下了三种面膜，今晚试了张牛油果面膜，打开味道有点清香，面膜很薄很服帖，精华很细腻，敷完后水水润润的，还可以敷脖子。这个价钱真心值 ,2021年05月08日 20:50,1,,Null,Null,0,-4,1131648413291,red_5,面膜,颜色分类:牛油果面膜（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
40,t***3,面膜精华水很多皮肤暗沉明显水嫩了皮肤用完脸部不干水水嫩嫩的，保湿效果不错坚持使用效果会更好,2021年05月12日 14:09,1,,Null,Null,0,-4,1131656468489,red_3,面膜,颜色分类:藕色[❤兰澳山羊奶套盒],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
41,1***l,整体评价：挺好的，面膜精华很多，敷完水水嫩嫩，价格非常实惠 ,2021年05月12日 11:13,1,,Null,Null,0,1,1132079557555,blue_2,面膜,颜色分类:❤热卖款水光蜂蜜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
42,s***仔,这是我用过最好用的一个面膜又一次回购了，不过包装压了卖家还送了猫耳朵发带和护手霜💕发货也很快 肤质改善情况：换季节爆皮敷一片也就好了 保湿效果：很滋润 吸收效果：敷完弹弹滑滑 ,2021年05月08日 14:12,1,,Null,Null,0,1,1131595493595,blue_3,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
43,t***1,使用与卖家描述一致，非常舒适，保湿效果很好！ ,2021年05月11日 10:15,1,,Null,Null,0,1,1132809539506,red_2,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
44,t***5,面膜拿到了，快递很快，三天就拿到，马上打开验了一下，是正品，大家可以放心购买！,2021年05月09日 13:05,1,,Null,Null,0,1,1132161722469,red_2,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
45,l***妞,整体评价：物流很快，查了下是正品，客服态度也很好，刚收到，用后再来追平哦 ,2021年05月11日 19:22,1,,Null,Null,0,1,1132019549509,blue_1,面膜,颜色分类:❤新款蜗牛面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
46,杨***人,一直都用这个牌子面膜 感觉很好用 保湿美白效果不错 ,2021年05月12日 10:28,1,,Null,Null,0,1,1132524350200,red_5,面膜,颜色分类:❤热卖款海洋珍珠10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
47,如***了,用了一个多星期 感觉蛮好的 。想买那个日本装祛痘款的 没货一直很想试试 ！这款效果也理想，敏感肌没有感觉到任何不适 保持正品的话会回购,2021年05月11日 20:22,1,,Null,Null,0,1,1131580656950,blue_3,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
48,嗜***9,整体评价：很好用，用完也不黏腻，而且精华很多 肤质改善情况：补水效果很明显 吸收效果：很好吸收 保湿效果：不错 我的肤质：不起皮了 ,2021年05月12日 10:38,1,,Null,Null,0,1,1131628620942,red_5,面膜,颜色分类:蓝安瓶玻尿酸面膜（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
49,t***2,吸收效果：很好 保湿效果：很好 我的肤质：敏感肌 超级好用的 还回回购的 ,2021年05月10日 21:24,1,,Null,Null,0,1,1132358410882,red_2,面膜,颜色分类:黑珍珠（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
50,t***8,宝贝收到了，用了二天感觉还可以，价格也实惠，补水效果很好，用后水润润的 ,2021年05月12日 22:23,1,,Null,Null,0,1,1132614106912,red_5,面膜,颜色分类:❤热卖款蚕丝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
51,姜***a,已经多次回购了 这次活动更便宜了  精华液很多  ,2021年05月09日 19:00,1,,Null,Null,0,1,1132622387364,blue_1,面膜,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
52,l***5,一直都在用这款面膜很好用。精华也很多。还很补水。用完之后皮肤很好值得入手  ,2021年05月12日 21:27,1,,Null,Null,0,-4,1132157893546,blue_1,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
53,疯***我,今天收到货就用了一片面膜，整体来说补水效果还可以的 ,2021年05月11日 16:31,1,,Null,Null,0,-4,1131998069856,red_3,面膜,颜色分类:红绿药丸（10片/盒）[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
54,9***a,收到了，很满意，是正品，还送了护手霜和发带，很满意的一次购物。 ,2021年05月12日 19:29,1,,Null,Null,0,1,1131698644044,red_4,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
55,t***2,面膜还是不错的精华水多还有面膜也很薄很透，而且还送了两样小礼品  ,2021年05月09日 21:20,1,,Null,Null,0,-4,1132637195030,blue_1,面膜,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
56,疯***我,还没有用，今天收到，准备晚上用下看看效果，但是看包装应该是真的 ,2021年05月11日 16:31,1,,Null,Null,0,1,1131998069854,red_3,面膜,颜色分类:❤新款橙子面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
57,苏***3,卖家很体贴，还送了发带，还送了护手霜，之前用着这款面膜了，很好用 ,2021年05月09日 16:18,1,,Null,Null,0,1,1132189706122,blue_1,面膜,颜色分类:❤新款燕窝面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
58,t***4,宝贝收到了真的好喜欢质量没事没得说太好了妈妈看到也说非常好而且物流也很快客服态度也是非常好呢喜欢的同志们快快拍下吧  ,2021年05月10日 16:12,1,,Null,Null,0,1,1132320270270,blue_1,面膜,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
59,t***1,宝贝不错 补水效果确实很好 一直用的这款 推荐购买 ,2021年05月13日 10:19,1,,Null,Null,0,-4,1133060059913,red_5,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
60,t***2,面膜补水很好，试了感觉脸部皮肤润润的，锁水效果还不错，需要的可以入手，实惠又好用。 ,2021年05月14日 22:37,1,,Null,Null,0,1,1132416829476,red_5,面膜,颜色分类:❤热卖款深水炸弹10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
61,任***1,一次性买了4盒，目前用了5片了，皮肤有明显的变化，补水效果强大  ,2021年05月10日 19:01,1,,Null,Null,0,-4,1132343158966,red_5,面膜,颜色分类:❤新款羊胎素面膜10片/盒[韩国原装假一罚十],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
62,任***1,一次性买了4盒，目前用了5片了，皮肤有明显的变化，补水效果强大 ,2021年05月10日 19:01,1,,Null,Null,0,1,1132343158965,red_5,面膜,颜色分类:灰色[❤新款马胎素10片],韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,taobao,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
